run_name,degree,signal_type,dimension,count,mean,std,p0,p1,p2,p5,p10,p25,p50,p75,p95,p99,p99_9,p99_99,p100
temp,3,action,10,46928,0.00022956096955340579,0.0003572252207705544,0.0,6.404189643415246e-22,1.3606219225767542e-20,1.9063119138795746e-13,2.9309347897021886e-07,1.5574924980794186e-05,9.217344046780207e-05,0.0002937696873171053,0.0009227197946578059,0.001709783775656668,0.00289723656687252,0.004411359628925001,0.00594363970126488
temp,3,action,11,46928,6.403639864778425e-05,0.00015512474931725058,0.0,3.6491812936631173e-22,8.413125627681948e-21,9.545732260196614e-14,3.521872783546209e-08,1.4709871886606218e-06,1.0483532841595866e-05,5.087223129734281e-05,0.0003154371304141039,0.0007775774476766383,0.0015928185944355713,0.002206900350092815,0.0026190616175297277
temp,3,action,12,46928,0.00029228790348154117,0.0004526593489672668,0.0,3.2397170432915522e-21,8.170833550516432e-20,4.1208103010621776e-13,3.741432385240273e-07,1.8019886349474046e-05,0.000109555592326116,0.0003745231391608095,0.0012141105619093663,0.0021264039835747297,0.0034918856415261943,0.005626568295890881,0.007804649089610316
temp,3,action,13,46928,0.00014275186423973803,0.0002382501437014503,0.0,5.352938904082849e-22,1.494905564440028e-20,1.672918747974705e-13,1.8816515990616174e-07,8.396001524066388e-06,5.152324480407061e-05,0.00017493808166385919,0.0005892226868447788,0.0011510778392751222,0.0020685578754631017,0.003150755608033421,0.003764095036266013
temp,3,action,14,46928,0.00028932996917551735,0.0004977351771089262,0.0,3.1918862785745366e-22,7.174866772643773e-21,2.2160537294091313e-13,2.856384590299574e-07,1.4668460021141638e-05,9.248238612871718e-05,0.00034006364695355826,0.0012763848520015387,0.002378555097824896,0.004268601045335343,0.006529177512687391,0.008416960004906104
temp,3,action,15,46928,0.0001362850598910538,0.0003255218384367049,0.0,1.6271400193806604e-22,4.644168097991928e-21,7.900161887063804e-14,8.542980626663474e-08,3.902673289677555e-06,2.779924615602808e-05,0.00012083069296252996,0.0006158524773350482,0.00165921391418601,0.0033750316123952336,0.005708508590675563,0.006419476379329048
temp,3,action,16,46928,0.00024566709851648976,0.00039826255780116,0.0,4.544335231946991e-21,1.2384201212691793e-19,5.495603971894521e-13,3.793921355743633e-07,1.6022742911736554e-05,9.021469954872963e-05,0.0002991420246925558,0.0010256279072068499,0.0019524794887760125,0.0031738063965824513,0.004834730430341504,0.005789620555566977
temp,3,action,17,46928,0.00011235979534866972,0.0001882778141627802,0.0,9.085304078218e-22,2.1276685813366664e-20,1.3207724844366271e-13,1.589073000740626e-07,6.483075138959127e-06,4.0184285297296604e-05,0.00013859927525758505,0.00045687785746954514,0.0009120706130896099,0.001581017732517411,0.0026920652882559248,0.0035047423344737316
temp,3,action,18,46928,0.0002635661546828515,0.0004447482861077355,0.0,3.787230883197081e-22,8.670674693884377e-21,3.474887044774262e-13,3.871054749221557e-07,1.59986816044011e-05,9.165295229573989e-05,0.00031465543031983234,0.0011200052357948412,0.0021482277869243984,0.003783076334410621,0.005921168956766072,0.007132190198271715
temp,3,action,19,46928,0.00019570306557700724,0.00036628670057153406,0.0,2.7639537605751888e-22,6.910495999905154e-21,1.6397438962201202e-13,1.7841709640531438e-07,1.001027519752229e-05,6.215695361980189e-05,0.00021476758971240156,0.0008496258499269778,0.001793081535254243,0.0033890031328433715,0.00646906153006756,0.007163049047735015
temp,3,action,20,46928,0.00019237483529263634,0.00031697219096561973,0.0,4.3662808875794395e-21,1.0656357324123295e-19,4.547934725867983e-13,3.144040126690228e-07,1.3156170321854121e-05,7.31294677146499e-05,0.0002330974763594118,0.0007874406450607224,0.0015341957845454166,0.002739342509267387,0.004061331569181374,0.006046251268373992
