run_name,episode_uid,degree,spline_target_mode,signal_type,dimension,count,mean,std,p0,p1,p2,p5,p10,p25,p50,p75,p95,p99,p99_9,p99_99,p100
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,37,5664,0.00026502148432357885,0.000405623396459149,0.0,7.703063106257282e-21,4.607834285479757e-20,1.6533743124602765e-12,1.3699778645889806e-07,1.3687747168783515e-05,0.00010547291157596284,0.00034580363250578255,0.001102025890917735,0.0018933417723573556,0.0031977292343303818,0.003449963598121858,0.0035169994456806866
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,38,5664,0.0003329405320630329,0.0005493699697705338,0.0,1.3046358609211397e-21,1.2813368487590046e-20,1.0069223232989102e-12,1.6303607853762642e-07,1.6292427761022132e-05,0.00011934858391665637,0.00038888417066391956,0.0014303438688531196,0.002536620835012942,0.004478601337529319,0.0063788674848148895,0.007097399905125701
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,39,5664,0.00019041876280275044,0.00030787336460687254,0.0,2.0195234147085267e-20,1.0257437544579368e-19,1.2004147675881613e-12,8.259528063159221e-08,9.096331556775195e-06,7.172253288109665e-05,0.00024126577188266635,0.0007671577881841627,0.001495089342039258,0.0025661201523148884,0.003436694102121186,0.0038237521527954565
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,40,5664,0.00025159049080422327,0.000489080055241752,0.0,3.745567877145817e-21,2.1256192470852747e-20,9.832190617231637e-13,3.9376556660447596e-08,3.5430977470100877e-06,4.3842808720023774e-05,0.0002604167570230947,0.0012855119465675466,0.0024019314542164587,0.003680300526547556,0.0057789212673001345,0.0060275150755493
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,41,5664,0.00031858567705269844,0.00048802170830566525,0.0,2.9285898118661735e-20,2.876314572786618e-19,2.185862255088549e-12,2.2653797427940602e-07,1.7635316401809487e-05,0.00012494832240395048,0.00040476253765736603,0.0013185279136044158,0.002332651405191956,0.003582883110144011,0.004941633464279721,0.005168471212338321
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,42,5664,0.00013606792458790238,0.00022017701648454342,0.0,5.920880117564216e-21,7.946282565759638e-20,1.2236097551854294e-12,8.621069099989945e-08,7.629950696217379e-06,5.4579949345979345e-05,0.000165641088179444,0.0005616514142244331,0.0010825897302112085,0.0018537659213697748,0.0025855449537368768,0.002805204681631507
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,43,5664,0.00023804649957498918,0.00040185829438021384,0.0,2.6483460011922896e-21,2.15062019560811e-20,7.626765355624183e-13,1.1923648675499227e-07,1.072141205751484e-05,7.929315035016399e-05,0.00027750391449632775,0.0010572082975009594,0.002035599076349286,0.002908193653010841,0.004621763951295556,0.004683730801442937
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,44,5664,0.00019408451523168825,0.0003997552865091335,0.0,2.1569542349567035e-21,2.1184510332447972e-20,4.3815714945161757e-13,7.088700626212152e-08,7.1359978357707354e-06,5.35345635883748e-05,0.00019658820734966276,0.0008405960066046559,0.002113544526698501,0.003529744959849268,0.005467228066899286,0.005687512137342754
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,45,5664,0.00014414699933626305,0.00023427661995796886,0.0,9.023503137481485e-24,8.545409473641075e-19,1.7189139001061633e-12,1.134130189983652e-07,9.710188766276495e-06,6.293224624265292e-05,0.0001851204295790776,0.0005428033532018928,0.0011472806853403234,0.0021240859607593366,0.003663737904505671,0.0040555382787514915
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,46,5664,8.63328058718919e-05,0.0001442681243695734,0.0,6.381410972941098e-25,6.043303809158424e-20,9.159126582170036e-13,5.905502429015555e-08,5.077906045597956e-06,3.4398103090832466e-05,0.00010608774255417726,0.00035239357043768846,0.0006616787191125529,0.001439084070905297,0.0018636505992655477,0.0019124584540495815
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,47,5664,0.00015696720949204718,0.0003001451252358591,0.0,0.0,3.624042920937436e-20,1.4347405208337002e-12,8.718477524372048e-08,9.400110183216404e-06,5.929710013569123e-05,0.000178157196499662,0.0006252864377410877,0.0014444390527379503,0.0032161424396934444,0.004857359811103415,0.005341867054898808
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,48,5664,0.00013881102539081494,0.0002964961184471122,0.0,5.2215649687576455e-21,2.5880123679708837e-20,8.635758774744398e-13,7.821675671966707e-08,7.372375475961368e-06,4.64625461496504e-05,0.00014298260334458246,0.0005984219540655847,0.0013797984500931678,0.003193276723973957,0.005401393575487756,0.005600755077925457
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,49,5664,9.187997157789613e-05,0.00015843513682227672,0.0,2.9253943691655073e-20,3.8974677887462172e-19,1.7229773163762803e-12,7.179287586644989e-08,6.288278604660302e-06,3.758449791391172e-05,0.00011537277150158731,0.00035397614766234897,0.0007650871203623462,0.0016283833278125021,0.002171073108117717,0.002307207131704514
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,50,5664,6.838335430338975e-05,0.0001131016050628708,0.0,1.4434796635674682e-20,6.334410306086517e-20,4.0315216442987673e-13,3.69853965800915e-08,3.6782328699698497e-06,2.572002515111027e-05,8.472274168827565e-05,0.00026992181166051105,0.000564846523104289,0.0010059187726027166,0.001203684705138855,0.001331547628217522
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,51,5664,0.0001751385415273686,0.0002642212836627332,0.0,0.0,5.1120892888366113e-20,1.0853901111218676e-12,1.0159733767611815e-07,1.0485937495252617e-05,7.670857800656794e-05,0.00022998102396154518,0.0006658940298412851,0.0013062498052805144,0.00205182351256723,0.0022724811340615342,0.0023082825372064963
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,52,5664,0.00018221154901569095,0.00025820511705734495,0.0,1.6297540327501524e-20,6.939723721133738e-20,9.2005318294564e-13,1.5567442194219796e-07,1.4924377717356885e-05,8.965092713147937e-05,0.0002518027292283398,0.0006642008791407931,0.0012221053698226211,0.0021534931901928353,0.0034829876949229025,0.004211160838674344
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,53,5664,8.836600167188743e-05,0.00014572407082205074,0.0,9.236715577216175e-21,3.933123892960744e-20,4.3217034889845116e-13,7.516283797442973e-08,6.087524846716541e-06,3.9728954354265045e-05,0.00011505032279084462,0.0003230574016412034,0.0006442818788029701,0.0012833588782016334,0.0029697770944044164,0.0031570194795510764
